trimmed-21139_25423	trimmed-A0363_27124	trimmed-A0481_19124	trimmed-A1176_17523	trimmed-A1739_10124	trimmed-A269087_24422	trimmed-A2695_28422	trimmed-A269807_25422	trimmed-A2713_2523	trimmed-A2730_1522	trimmed-A2741_2522	trimmed-A2830_18523	trimmed-A2852_19523	trimmed-A2863_171223	trimmed-A2863_231122	trimmed-A2863_4523	trimmed-A2890_171223	trimmed-A2946_261122	trimmed-A3073_21523	trimmed-A3073_5523	trimmed-A3110_141222	trimmed-A3127_171222	trimmed-A3136_171222	trimmed-A3144_6123	trimmed-A3162_6123	trimmed-A3165_7123	trimmed-A3366_28423	trimmed-A3386_2523	trimmed-A3390_30423	trimmed-A3606_18523	trimmed-A3611_4523	trimmed-A3613_4523	trimmed-A3620_5523	trimmed-A3624_5523	trimmed-A3627_6523	trimmed-A3655_17523	trimmed-A3658_17523	trimmed-A3663_17523	trimmed-A3667_18523	trimmed-A3668_18523	trimmed-A3669_19523	trimmed-A3673_19523	trimmed-A3674_19523	trimmed-A3682_21523	trimmed-A3683_23523	trimmed-A3686_21523	trimmed-A3688_21523	trimmed-A3690_21523	trimmed-A3694_22523	trimmed-A3697_22523	trimmed-A3699_22523	trimmed-A3700_22323	trimmed-A3841_22523	trimmed-A3865_23523	trimmed-A3873_161223	trimmed-A3875_161223	trimmed-A3883_181223	trimmed-A5004_121223	trimmed-A5042_21223	trimmed-A5045_21223	trimmed-A5049_21223	trimmed-A5051_21223	trimmed-A5119_20124	trimmed-A5145_181223	trimmed-A5147_181223	trimmed-A5148_181223	trimmed-A5160_7124	trimmed-A5169_7124	trimmed-A5179_7124	trimmed-A5183_7124	trimmed-A5185_7124	trimmed-A5186_7124	trimmed-A5187_7124	trimmed-A5191_7124	trimmed-A5193_7124	trimmed-A5200_7124	trimmed-A8202_8124	trimmed-A8211_14124	trimmed-A8212_14124	trimmed-A8214_14124	trimmed-A8224_19124	trimmed-A8228_15124	trimmed-A8233_16124	trimmed-A8257_19124	trimmed-A8261_20124	trimmed-A8283_22124	trimmed-A8284_22124	trimmed-A8317_1224	trimmed-A8317_25124	trimmed-A8329_26124	trimmed-AB0373_26422	trimmed-AB0410_12124	trimmed-AB0525_18523	trimmed-AB0600_27422	trimmed-AB1179_16124	trimmed-AB1348_9123	trimmed-AB1426_27423	trimmed-AB1445_5523	trimmed-AB1464_261123	trimmed-AB1465_18523	trimmed-AB1471_161223	trimmed-AB1719_161223	trimmed-AB1722_161223	trimmed-EX_CTRL1	trimmed-EX_CTRL2	trimmed-PCR_CTRL	trimmed-PlN_CTRL	trimmed-Z0337_17123	trimmed-Z1683_20124	trimmed-Z2059_27124	trimmed-Z2538_17523	trimmed-Z2572_4522	trimmed-Z2581_4522	trimmed-Z2583_4522	trimmed-Z2604_5622	trimmed-Z2605_6522	trimmed-Z2612_5622	trimmed-Z3428_26422	trimmed-Z3474_28423	trimmed-Z3476_28423	trimmed-Z3503_30423	trimmed-Z3515_2523	trimmed-Z3530_4523	trimmed-Z3538_4523	trimmed-Z3541_4523	trimmed-Z3543_5523	trimmed-Z3544_5523	trimmed-Z3562_5523	trimmed-Z3570_6523	trimmed-Z3591_17523	trimmed-Z3593_17523	trimmed-Z3594_17523	trimmed-Z3595_17523	trimmed-Z3596_17523	trimmed-Z3598_17523	trimmed-Z3599_17523	trimmed-Z3632_6523	trimmed-Z3719_16123	trimmed-Z3728_17123	trimmed-Z3802_18523	trimmed-Z3803_18523	trimmed-Z3807_19523	trimmed-Z3812_19523	trimmed-Z3815_19523	trimmed-Z3818_21523	trimmed-Z3820_21523	trimmed-Z3821_21523	trimmed-Z3823_21523	trimmed-Z3827_21523	trimmed-Z3837_22523	trimmed-Z4965_301123	trimmed-Z5009_20124	trimmed-Z5015_19124	trimmed-Z5019_22124	trimmed-Z5029_23124	trimmed-Z5030_131223	trimmed-Z5086_19124	trimmed-Z5090_19124	trimmed-Z5093_19124	trimmed-Z5094_19124	trimmed-Z5096_19124	trimmed-Z5097_19124	trimmed-Z5109_19124	trimmed-Z5110_19124	trimmed-Z5116_20124	trimmed-Z5117_20124	trimmed-Z5124_21124	trimmed-Z5132_22124	trimmed-Z5139_23124	trimmed-Z5144_24124	trimmed-Z5150_24124	trimmed-Z5152_1224	trimmed-Z5157_24124	trimmed-Z5159_24124	trimmed-Z5164_25124	trimmed-Z5168_25124	trimmed-Z5174_26124	trimmed-Z5175_26124	trimmed-Z5180_27124	trimmed-Z5187_27124	trimmed-Z5193_29124	trimmed-Z5194_29124	trimmed-Z8304_31124	trimmed-Z8305_31124
ASV_11	0	0	0	0	186	0	0	0	0	162	0	12447	583	0	0	0	0	0	0	0	0	604	77	0	169	36	16	0	210	25	0	342	0	0	0	162	0	0	0	0	0	0	24	23	0	0	0	0	135	0	0	0	0	101	0	0	0	0	8	1335	170	0	0	0	0	14	0	0	43	9772	0	41	0	0	20	4509	0	300	1410	27360	88	16830	0	0	0	0	0	0	0	0	0	0	0	19	0	7	32948	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	46544	0	1186	0	0	0	0	0	0	17	0	0	0	6342	440	0	0	0	0	0	0	126	42851	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	41	99	0	0	0	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	1400	2402	0	18589	23	22	782	0	2208	43077	0	0	0	0	0	135	0	0	79	40	104	36	12971	48732	367	16	267	378	137	0	9	189	1379	19100	19	285	195	115	2282	1418	130	164	95	1400	55	565	10	698	222	0	2393	0	28	8	0	0	0	0	0	0	51	0	0	79	273	0	28	0	0	0	0	0	0	0	0	0	202	1569	0	80	0	16	0	166	36	0	0	62	751	228	577	0	133	792	0	0	0	0	12	0	0	0	0	22	0	0	0	1060	56	0	12	52	0	0	0	0	3216	0	264	93	0	167	0	0	293	81	1546	232	91	3022	88	691	0	186	0	30	844	176	76	267	80	513	67	270	135	7387	176	0	0	25	0	0	46	27	368	0	601	15297	0	0	0	0	0	0	651	49	0	1135	0	0	255	390	0	0	0	0	0	26	568	99	0
ASV_13	0	0	0	0	0	213	0	72	1072	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5368	65200	878	12352	0	176	202	0	1330	371	75	77	2661	0	0	0	0	0	330	0	0	0	0	0	0	0	0	1227	0	70	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1155	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	3533	0	0	0	0	0	0	0	328	0	1172	3891	116	0	65	0	0	48	23	3925	33	48	4669	34050	19154	6862	114	0	0	514	250	26	567	255	283	0	0	33	708	0	12	0	0	0	0	0	0	0	0	0	9042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	315	0	3292	0	0	4325	0	671	0	0	0	0	0	0	0	0	0	244	0	757	0	6739	12	0	0	0	0	0	0	0	4084	0	0	38953	24	0	0	42	18101	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	102	0	1452	0	0	999	47513	165	176	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	65	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1834	0	0	0	0	0	2803	0	277	0	0	4331	0	0	0	51	0	0	0	0	0	10239	52	0	0	0	745	0	246	0	117	0	0	0	1692	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	26	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0	9221	65782	0	0	0	0	0	0	0	0	0	0	0	66789	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	56	29	0	0	0	0	0	0	0	0	0	0	0	0	0	575	136	0	58	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	18	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	29593	2162	0	0	0	0	42	0	0	0	66	0	2317	2612	6693	0	0	0	0	0	0	0	1542	0	36	0	0	0	0	0	0	0	0	0	414	0	0	0	130	0	53959	0	0	0	0	0	0	0	0	1244	4154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	45	0	0	0	1883	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	187	80	0	0	56	239	138	2191	0	0	22952	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0
ASV_17	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	157	1451	168	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	47	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	124	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1297	77093	0	0	0	0	294	0	0	217	0	43	0	117	423	53	0	188	0	5579	133	2102	0	18857	216	15051	19	63	1678
ASV_18	0	0	0	13034	238	0	0	0	0	0	0	0	0	0	0	45204	0	26	0	0	0	0	0	0	0	0	0	0	0	32157	238	0	0	0	0	99	1703	0	0	0	0	17	0	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13807	0	9721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	100	0	0	0	0	0	15	345	0	43	0	95	0	0	0	155	0	28	0	70	29	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	24	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5553	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	1814	0	8458	0	27559	0	56358	0	116	0	0	0	12	407
ASV_20	0	0	0	23	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	0	40	0	0	77	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1994	216	78613	76	194	96	0	211	67	0	14486	0	0	0	0	0	0	0	0	544	21	0	4	0	0	0	21	0
ASV_21	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	1574	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	297	0	0	0	0	0	0	0	778	0	46	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	3797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	43359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	1452	67	0	33	179	0	0	0	43393	301	107	54	0	0	0	75	0	97	183	0	0	0	0	311	0	0	337
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	118	21	2	0	0	0	22	0	0	0	0	0	5652	1287	51	27	0	0	0	0	0	0	0	0	0	53	8	1358	3894	6059	66	0	3816	14	0	931	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	80	70	807	1459	183	4599	0	0	0	0	0	17101	0	545	890	4293	0	14	0	0	0	856	0	0	0	187	0	0	0	0	0	0	0	29515	15	1485	7506	46	0	0	0	0	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	5802	25	9859	0	0	0	0	0	0	0	0	0	0	0	231	13	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5698	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1942	460	30440	0	0	0	0	0	0	0	0	0	0	0	0	0	23170	0	0	0	0	5965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	7206	0	0	0	0	0	0	0	0	0	0	0	0	1989	0	0	0	0	0	0	1195	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	3597	0	0	0	0	0	0	0	0	0	0	0	2150	11542	16404	319	0	17964	627	0	0	0	0	0	25989	0	0	0	157
